,CASE_CONTROL cases,CASE_CONTROL controls,Crohn_case_control cases,Crohn_case_control controls,UC_case_control cases,UC_case_control controls,Both_case_control cases,Both_case_control controls
Counts,121,121,54,54,43,43,24,24
Proportion female,0.71900826446281,0.71900826446281,0.7592592592592593,0.7592592592592593,0.6046511627906976,0.6046511627906976,0.8333333333333334,0.8333333333333334
Age_at_sample_collection,55.34/57.0 (36-69) [121],54.6/56.0 (36-67) [121],55.76/58.0 (37-69) [54],54.94/57.0 (36-67) [54],55.65/56.0 (36-67) [43],55.02/55.0 (36-67) [43],53.83/54.5 (40-68) [24],53.08/54.0 (38-67) [24]
F1_SDC_AGE_CALC,55.33/57.0 (36-69) [121],54.56/56.0 (36-67) [121],55.74/58.0 (37-69) [54],54.89/57.0 (36-67) [54],55.65/56.0 (36-67) [43],54.98/55.0 (36-67) [43],53.83/54.5 (40-68) [24],53.08/54.0 (38-67) [24]
A_SMK_CIG_CUR_FREQ,0.04 [121],0.04 [121],0.04 [54],0.04 [54],0.02 [43],0.02 [43],0.08 [24],0.08 [24]
A_HS_DENTAL_VISIT_LAST,1.61/1.0 (1.0-5.0) [120],1.36/1.0 (1.0-5.0) [121],1.46/1.0 (1.0-5.0) [54],1.3/1.0 (1.0-5.0) [54],1.67/1.0 (1.0-5.0) [42],1.42/1.0 (1.0-3.0) [43],1.83/1.5 (1.0-5.0) [24],1.38/1.0 (1.0-3.0) [24]
PM_BIOIMPED_BMI,27.57/27.0 (18.0-43.0) [121],26.77/26.0 (19.0-44.0) [121],27.22/26.5 (19.0-43.0) [54],26.39/26.0 (19.0-44.0) [54],27.77/27.0 (18.0-36.0) [43],27.0/26.0 (19.0-38.0) [43],28.0/26.0 (21.0-40.0) [24],27.21/25.5 (21.0-38.0) [24]
PM_BIOIMPED_WEIGHT,75.73/74.3 (41.9-111.3) [121],74.13/73.6 (47.7-121.8) [121],74.52/73.35 (49.5-107.9) [54],71.62/70.1 (49.7-121.8) [54],77.01/76.5 (41.9-111.3) [43],77.53/78.7 (47.7-107.3) [43],76.16/73.55 (52.8-109.0) [24],73.69/74.8 (49.9-102.3) [24]
PM_WAIST_AVG,92.62/92.0 (59.0-134.5) [121],89.6/89.5 (63.5-122.5) [121],92.02/91.0 (73.0-124.0) [54],87.37/87.4 (63.5-122.5) [54],92.89/94.8 (59.0-121.0) [43],91.61/92.2 (66.0-118.3) [43],93.48/90.25 (67.0-134.5) [24],91.03/90.0 (71.2-121.5) [24]
PM_WAIST_HIP_RATIO,0.88/0.88 (0.68-1.12) [121],0.87/0.86 (0.63-1.07) [121],0.88/0.87 (0.73-1.05) [54],0.85/0.85 (0.69-1.01) [54],0.9/0.9 (0.72-1.07) [43],0.89/0.89 (0.63-1.07) [43],0.87/0.89 (0.68-1.12) [24],0.86/0.85 (0.73-1.03) [24]
